	Mg-glutamate	K-glutamate	Amino acid	Spermidine	3-PGA	NTPs	PEG-8000	DNA	HEPES	Malachite green
62	45.0	0.0	432.5	0.0	337.5	152.5	787.5	2100.0	262.5	105.0
63	45.0	0.0	655.0	27.5	225.0	152.5	787.5	2100.0	262.5	105.0
64	67.5	0.0	1312.5	27.5	337.5	152.5	1055.0	1722.5	262.5	105.0
65	0.0	0.0	1312.5	52.5	225.0	152.5	520.0	1345.0	262.5	105.0
66	45.0	0.0	222.5	0.0	337.5	152.5	1055.0	2100.0	262.5	105.0
67	22.5	277.5	655.0	27.5	337.5	152.5	267.5	2100.0	262.5	105.0
68	45.0	0.0	222.5	0.0	337.5	152.5	787.5	2100.0	262.5	105.0
69	0.0	142.5	880.0	80.0	170.0	152.5	787.5	2100.0	262.5	105.0
70	45.0	142.5	222.5	52.5	337.5	152.5	1055.0	2100.0	262.5	105.0
71	0.0	0.0	222.5	52.5	337.5	152.5	787.5	1722.5	262.5	105.0
72	22.5	142.5	1312.5	52.5	225.0	152.5	1575.0	2100.0	262.5	105.0
73	45.0	142.5	1312.5	27.5	225.0	152.5	267.5	1722.5	262.5	105.0
74	22.5	420.0	1312.5	80.0	225.0	152.5	267.5	2100.0	262.5	105.0
75	67.5	0.0	880.0	0.0	337.5	152.5	267.5	2100.0	262.5	105.0
76	0.0	0.0	880.0	27.5	337.5	152.5	787.5	1345.0	262.5	105.0
77	45.0	142.5	880.0	80.0	337.5	152.5	1055.0	1722.5	262.5	105.0
78	45.0	142.5	432.5	105.0	337.5	152.5	1055.0	2100.0	262.5	105.0
79	0.0	420.0	1312.5	80.0	337.5	152.5	1055.0	2100.0	262.5	105.0
80	22.5	420.0	1312.5	0.0	337.5	152.5	1055.0	2100.0	262.5	105.0
81	90.0	0.0	432.5	27.5	337.5	152.5	1055.0	2100.0	262.5	105.0
82	22.5	277.5	655.0	105.0	337.5	152.5	267.5	2100.0	262.5	105.0
83	22.5	142.5	432.5	80.0	337.5	152.5	0.0	2100.0	262.5	105.0
84	45.0	0.0	880.0	80.0	225.0	152.5	520.0	1722.5	262.5	105.0
85	0.0	0.0	1312.5	27.5	337.5	102.5	520.0	2100.0	262.5	105.0
86	45.0	142.5	1312.5	52.5	170.0	152.5	520.0	1722.5	262.5	105.0
87	22.5	277.5	1312.5	52.5	170.0	152.5	1055.0	2100.0	262.5	105.0
88	67.5	0.0	432.5	52.5	337.5	152.5	1055.0	1722.5	262.5	105.0
